,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,846,235.14318164425748,77.53692707206719,29.32277225359201,0.925732834486222,96.80614657210401,155,75,0.3781781579548255,0.2779470232201625,80
1,1755,188.8111831820431,78.76190011478748,30.252066928085522,0.9232934991736914,97.94017094017094,174,72,0.38409518922215186,0.10758471976184791,102
2,3465,495.29855659733477,122.47768148554175,55.58566783205183,0.8910815412842571,98.63088023088024,205,72,0.4538432403181441,0.14294330637729719,133
3,2915,341.3452377915607,118.90772082234687,39.15239042855505,0.9442368516939017,96.2082332761578,178,72,0.32926701611790515,0.1170995669953896,106
4,588,97.29646455628166,30.557599130865615,26.766869580464533,0.4824054329225917,104.76190476190476,171,76,0.8759480568428512,0.16547017781680554,95
6,1412,215.27922061357856,81.23950843050126,28.190275706593855,0.9378643715991338,108.06019830028329,214,74,0.34700204680226565,0.15246403726174118,140
7,1728,182.3086578651014,60.69758625143687,39.965574647545154,0.7526352978266175,102.17997685185185,212,74,0.6584376268603114,0.10550269552378554,138
8,1313,167.92388155425118,64.70500041584269,27.532936834623715,0.9049514544664111,102.01447067783701,196,71,0.42551482354804865,0.12789328374276557,125
9,145,59.00609665440987,25.938548294822358,7.786636780868108,0.9538776816473269,110.69655172413793,158,79,0.3001955503586302,0.4069385976166198,79
10,5281,676.9270196158309,133.01886957480355,103.99024301702433,0.6235661239155842,100.45332323423594,200,70,0.7817706115638362,0.12818159810941696,130
11,4984,331.84776310850236,104.75322837662027,66.43360467622988,0.7731760277430124,100.12219101123596,202,71,0.6341914774920397,0.06658261699608796,131
